GEX,METH,CNV
RGPD3,cg11354682,KLHDC8B
CYCS,cg23899168,CYB561D2
SLC26A7,cg24178897,IP6K1
ST8SIA4,cg04797957,NEK4
TREM2,cg07474842,QRICH1
SUMO1,cg22540135,TMIE
UTP14C,cg09476092,ZNF589
AHCY,cg25588844,GPR62
ACOX1,cg03819134,RBM6
ORMDL3,cg09948419,CLEC3B
CDV3,cg07866909,TLR9
NICN1,cg03081173,EXOSC7
HSPB2,cg05117638,PRSS50
DET1,cg15028458,TOP2B
OSBPL2,cg10149296,RARB
FABP7,cg08995609,LRRC3B
CD70,cg14213105,NGLY1
MFN2,cg04495354,OXSM
EIF3B,cg12510708,THRB
SLC9A4,cg11883009,TMEM232
CCL14,cg25641439,HSD17B7P2
MDH2,cg22507023,SPAG6
SUPT16H,cg03515829,ZNF248
CYB5B,cg19409133,ZNF25
NPTX2,cg06639053,CCDC7
PSMD11,cg15832822,ITGB1
HRG,cg26874872,COMMD3
CHMP4B,cg27132471,ZNF37A
MLF2,cg09365002,BMI1
DCTN2,cg15618108,ZNF33A
SLC20A2,cg03212183,ZEB1
CCT5,cg18170989,ARHGAP12
GRB2,cg14097568,RAB18
RNASE4,cg06335867,NRP1
POLDIP2,cg22727783,WAC
ZNF177,cg07404527,KIAA1217
ZNF20,cg23521905,ABI1
PPP1CC,cg17851868,PTF1A
DAD1,cg26366091,APBB1IP
BLCAP,cg27285720,GJD4
FDFT1,cg21571658,KIF5B
SLC39A7,cg15084543,ZNF438
ERMP1,cg26204448,PIP4K2A
COPZ1,cg25095032,ARMC3
TRA2B,cg27376024,FZD8
TRAK1,cg15819225,C10orf67
PSMC4,cg11130630,PTCHD3
SIRPB2,cg23054189,THNSL1
C3orf33,cg14115597,ENKUR
DCAF11,cg10752406,EPC1
SCNN1B,cg07175582,PRTFDC1
IL2RB,cg01288184,MYO3A
APH1A,cg24828746,PDSS1
PSMD6,cg25813290,GPR158
SFRP1,cg09993145,MSRB2
ATXN10,cg24348240,MTPAP
ADORA3,cg24956391,BAMBI
PSMB7,cg07960624,MPP7
DVL3,cg11336311,ARHGAP21
CD300A,cg12593541,OTUD1
GABRD,cg23541926,MAP3K8
ECSCR,cg03787603,SLC6A20
ALDOA,cg17096807,LTF
APOC1,cg05499012,ST8SIA6
SLFN12,cg05101437,VIM
RAB7A,cg17571559,DCP2
PLSCR3,cg05963604,STAM
VARS2,cg19319487,CACNB2
ARF6,cg10880902,ARL5B
PTGR2,cg16578085,MLLT10
XPO6,cg26651810,NSUN6
RPN1,cg14056993,SLC39A12
ALAS1,cg14205864,TRDMT1
SNRPD3,cg11906781,DNAJC1
NELL1,cg00347746,ANKRD26
ZNF214,cg21076680,MKX
SURF4,cg00780520,ARMC4
RNF114,cg18780288,SVIL
FXR1,cg02753187,YME1L1
CD48,cg15694422,MASTL
PARP1,cg00713400,ACBD5
NCBP2,cg19547192,CUL2
LRP11,cg05068848,CREM
ATP6V0D2,cg10045881,CCNY
EIF2AK1,cg03614132,BMS1
CRIP1,cg13787850,ZNF33B
COPB2,cg03846111,CUBN
NUSAP1,cg17156011,C1QL3
SIGLEC9,cg04156940,PTER
PRDX6,cg11278749,PLXDC2
CD86,cg26232553,RSU1
GGT6,cg19308375,NEBL
GTF3C1,cg12196045,PARD3
YTHDF1,cg13374432,HNRNPF
HM13,cg07830160,CXCL12
STARD7,cg11152384,RET
TSN,cg22039204,TSSK1B
SDHC,cg16407699,ZNF697
FKBP2,cg04362790,REG4
STAU1,cg22286382,PHGDH
ZNF19,cg21785832,HMGCS2
LY86,cg01528542,HSD3B1
SAP30,cg15194251,HAO2
PSMB2,cg06783197,HSD3B2
HNRNPU,cg07244202,TBX15
MRPS30,cg24531955,WARS2
SF3B3,cg12421834,ISLR2
RPL23AP53,cg06654691,STRA6
OGFOD2,cg01510278,IMP3
C1orf43,cg04256834,DNM1P35
HNRNPC,cg14488466,NPTN
PRKDC,cg14889070,PSTPIP1
AHCYL1,cg17418276,ISLR
PSMD13,cg20175702,LMAN1L
DDB1,cg04499701,PML
LSM3,cg16468729,NRG4
HADH,cg07171609,CYP1A1
SAP18,cg00283857,CYP11A1
ZNF628,cg13606889,UBL7
WBP11,cg04474049,CLK3
CCR5,cg06996956,LOXL1
RGS18,cg11868461,CPLX3
GRSF1,cg05876246,SEMA7A
BIN2,cg03466587,STOML1
TXNDC5,cg11898486,UBE2Q2
PSMC2,cg04511534,ODF3L1
SRP68,cg12559197,SNUPN
GLRX5,cg14241836,EDC3
ARL8B,cg27115863,PTPN9
RPSA,cg17272620,ULK3
CLEC4A,cg10772185,RCN2
KLRK1,cg13036352,ARID3B
RNF31,cg20146541,HMG20A
PSMB5,cg23052776,TSPAN3
NBPF10,cg27300045,LINGO1
PPIF,cg24033633,CSK
KHSRP,cg22117188,ETFA
KDM2A,cg12877723,ISL2
HNRNPM,cg07463059,FBXO22
ZNF223,cg19972648,SCAPER
GIMAP2,cg17555373,UACA
AHNAK2,cg19643053,CD276
ADIPOR2,cg01710361,CCDC33
PAICS,cg02059176,HCN4
CAPN12,cg17508941,NEO1
STRAP,cg03111404,CSPG4
CIAO1,cg02849693,SNX33
RNF10,cg25016420,CYP1A2
SSRP1,cg20093339,NOX4
MRPS16,cg25636466,DMXL1
CD1D,cg00259834,TBC1D2B
PABPC4,cg23917009,SCAMP5
ERCC5,cg25329734,COX5A
FOXI1,cg12506165,NEIL1
PAPPA2,cg25565203,MPI
PIK3R5,cg27200466,SCAMP2
MTRF1L,cg15693937,LRRC49
PIGT,cg15962197,LARP6
ZNF792,cg06607764,THAP10
IL12RB1,cg09887059,BBS4
DNAJB6,cg21548340,HIGD2B
NAA50,cg09511741,MAN2C1
TIGD7,cg23552820,SH2D7
SET,cg18156592,ADPGK
RBM45,cg11588197,NR2E3
MRPS35,cg13017929,PPCDC
UGP2,cg11056055,CIB2
HNRNPL,cg16474118,RPP25
ZNF790,cg13208054,COMMD4
SLC7A6OS,cg09803959,SIN3A
SMAP1,cg26376241,ARIH1
ST20,cg05926722,THSD4
AQP6,cg23010507,C15orf39
ATRN,cg27219841,IL16
ESRRB,cg09292244,TLE3
SUB1,cg01227537,CHORDC1
FAM20B,cg25627226,NAALAD2
RHBDD2,cg16565696,SNRPA1
POGK,cg10460946,NTRK3
NAT8L,cg06438559,MEF2A
TFCP2L1,cg13585930,ASB7
PARVG,cg13410764,PCSK6
ACACA,cg16683060,CHSY1
KBTBD4,cg06728055,TM2D3
ZNF169,cg18072282,SH3GL3
SUPT6H,cg03518729,ALDH1A3
DDX24,cg25596287,LYSMD4
PSMB4,cg16108230,ADAMTS17
DDX1,cg02394249,LRRK1
CCDC85A,cg01106881,MTHFS
FECH,cg13019092,FURIN
UQCRB,cg18205883,MORF4L1
CCT8,cg13045134,SV2B
KPNB1,cg09643398,HAPLN3
KISS1R,cg14870136,CRABP1
SMG7,cg18578954,CHD2
SLC35A1,cg13223682,TTC23
SLC39A1,cg11753018,ISG20
ARID1A,cg09632136,IDH3A
PIP4K2B,cg09362047,NR2F2
EIF2S2,cg02291365,MCTP2
EIF5B,cg24096120,CPEB1
NETO2,cg18756771,FAM174B
UBE3B,cg01238435,ST8SIA2
NDUFS5,cg23939096,SLCO3A1
PSMC5,cg27429749,SPATA8
ALKBH5,cg09597022,TMC3
STIP1,cg14088282,RGMA
PGD,cg26029734,FSD2
HYOU1,cg21684411,ST20
ADAR,cg13434489,CTSH
POFUT1,cg26770907,VPS33B
DYNC1H1,cg27292099,ADAMTSL3
STAMBPL1,cg18580385,MFGE8
COPS6,cg00587922,BTBD1
GAL3ST4,cg26558485,CHRNB4
LILRB2,cg09287864,AKAP13
ZNF585A,cg08900316,IREB2
IDI1,cg10536898,PDE8A
BCAP29,cg13615963,PSMA4
MAEA,cg09237790,MAN2A2
BCKDHA,cg19254118,C15orf40
RAPGEF6,cg01778994,HOMER2
ZNF546,cg12751042,TM6SF1
MAPKAP1,cg13477614,WDR73
CCDC7,cg09364122,SLC28A1
TOP3B,cg08928696,ZSCAN2
GZMK,cg26603656,CRTC3
CLDN19,cg15985905,SYNM
COL23A1,cg00282706,FAM169B
SEPHS1,cg17518550,RASGRF1
CCDC110,cg16336556,ZFAND6
ZNF564,cg23683800,BCL2A1
APLF,cg10167235,MRPL46
IPO4,cg14665413,KLHL25
KRBA1,cg19137748,WDR61
JUND,cg02104138,ANKRD34C
TFAP2B,cg06112171,CHRNA3
GTF2IRD2B,cg00366252,FAH
UBP1,cg16304656,CHRNA5
PSMD8,cg14765933,ACAN
TREX1,cg21097354,SEC11A
ADIPOR1,cg10080966,ARRDC4
SLA2,cg13618967,IGF1R
PRKACA,cg22307974,ADAMTS7
CNOT2,cg00673646,ALPK3
C18orf54,cg13019306,NMB
C20orf202,cg23655939,BNC1
EI24,cg05398036,ARNT2
RBM17,cg23677657,WHAMM
PLRG1,cg25581222,MRPS11
IL15,cg16072754,LRRC28
PDHB,cg10574006,ZNF592
SRP72,cg02321620,UNC45A
CLNS1A,cg26644674,HDDC3
RBPJ,cg06821992,ACSBG1
SAMD3,cg23045972,FES
AHSA1,cg09187338,DET1
CLTA,cg00743629,BLM
PSMA5,cg24375218,AP3B2
UBR5,cg09716613,RCCD1
HNRNPA1,cg24990317,MEX3B
MBTPS1,cg11786870,AEN
GBAP1,cg03254336,TMED3
ZNF808,cg04465078,STARD5
NUCKS1,cg01323381,PRC1
RASAL3,cg01942558,DNAJA4
RNASET2,cg17534029,CCDC90B
PSMF1,cg01738022,FAM181B
GTF2H4,cg17647904,RAB30
PCDHB10,cg27109748,PCF11
SLMAP,cg21737444,EED
PCDHB13,cg10888900,PICALM
TSSK3,cg08698943,CCDC81
VCP,cg14562054,ANKRD42
GOLGA2,cg02225720,ME3
DNASE1,cg05696969,PRCP
EVI2A,cg24475272,TMEM126B
PABPC4L,cg26514492,CREBZF
TERF2IP,cg07580128,TMEM126A
GRHPR,cg10502118,SYTL2
TM9SF3,cg25296938,CCDC89
IL7,cg11288144,TRPC6
BUB3,cg18077971,TMEM135
RANBP3L,cg07529658,DCUN1D5
MCCC2,cg16608498,TYR
SLC22A4,cg08841544,MMP1
TFDP2,cg14398860,FZD4
PTDSS1,cg20559385,ANGPTL5
VDAC3,cg02044895,MMP13
THAP10,cg03147185,MMP10
NUDT4,cg07469815,MMP3
ISCU,cg07126235,DYNC2H1
KPNA6,cg05501996,MMP8
N4BP2L1,cg19928294,MMP12
EGLN1,cg24680248,PRSS23
IMPDH2,cg15488978,PARP6
TRIM33,cg04452203,SENP8
ZNF763,cg12048965,HEXA
SPG21,cg18615133,MYO9A
CNTN1,cg10214581,DLG2
PMS2CL,cg03738025,MESP2
PPFIA4,cg07436694,CIB1
MALL,cg00973309,GABARAPL3
CCDC89,cg16704703,NGRN
GORASP1,cg07501988,FANCI
ABCA11P,cg23907053,PLIN1
RHOA,cg26579713,KIF7
KCNIP4,cg24405700,SEMA4B
HSBP1,cg26140475,RHCG
RPS29,cg11401986,RLBP1
UBE2N,cg21978694,ZNF774
ERGIC3,cg22495058,POLG
SSR3,cg04121731,MESP1
DCAF7,cg05204104,AP3S2
KLHDC1,cg01966277,IDH2
UBAP2L,cg15601264,ZNF710
NUDC,cg23368159,PEX11A
USP39,cg00160981,WDR93
NOL7,cg15754112,IQGAP1
RFESD,cg07159758,ABHD2
IDH1,cg04090697,ANPEP
SEC61A1,cg09410512,FOLH1
NOL3,cg12111714,BIRC3
KIAA1586,cg07093324,BIRC2
ICOSLG,cg06189394,CTSC
ZSCAN12,cg10316899,YAP1
TAS2R20,cg18700744,TRAF6
ZNF525,cg11838152,RAG1
CORO7,cg02094283,MRM1
LHX6,cg17849530,KLF6
COX6C,cg08698997,AKR1E2
NCL,cg23023970,TRIM44
ZNF782,cg09853702,PRR5L
NDUFA6,cg11118962,FJX1
FAM32A,cg09140531,LDLRAD3
C3AR1,cg14294859,COMMD9
FPR3,cg13826452,DHRS11
SLC31A2,cg18490614,RASL10B
HMGCR,cg03584506,CCL5
ATP6V1A,cg06613738,RDM1
MTHFS,cg05471495,MMP28
HINT2,cg24390590,GAS2L2
ADRA1B,cg17888985,TAF15
